platz,nachname,vorname,partei,stimme,KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
136,Grüter,Barbara,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
93,Günthard,Barbara,EVP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
21,Guyer,Esther,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
161,Habegger,Beat,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
152,Habicher,Lorenz,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
69,Hans,Urs,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
55,Hasler,Andreas,GLP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
91,Häuptli,Daniel,GLP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
127,Hauser,Matthias,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
35,Häusler,Edith,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
52,Heierli,Daniel,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
72,Hodel,Daniel,GLP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
