KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
199/2013,,Rechenschaftsbericht Sozialversicherungsgericht des Kantons Zürich für das Jahr 2012,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,551789aa09374aea80ce5972cdca40b5-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/551789aa09374aea80ce5972cdca40b5-332/1/pdf
121/2013,,Stellenprozente sowie die Mindestzahl der Mitglieder der Bezirksgerichte,Diverses,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,35c290dd029a4379bc5abc5bf387c3f3-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/35c290dd029a4379bc5abc5bf387c3f3-332/1/pdf
4935,4935,Archivgesetz und Patientinnen- und Patientengesetz (Teilrevision),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,b89bccbdb777409ca5759d74eea6cff8-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b89bccbdb777409ca5759d74eea6cff8-332/1/pdf
4952,4952,Haftungsgesetz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,1bf5b1de4230479cbf6140ac996efcb2-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1bf5b1de4230479cbf6140ac996efcb2-332/1/pdf
65/2013,,Stärkung der Aufsicht über die organisierte Sterbehilfe,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,9f1546a3a1c44a4ca5afa59551cf052d-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9f1546a3a1c44a4ca5afa59551cf052d-332/1/pdf
200/2013,,Tätigkeitsbericht der Finanzkontrolle des Kantons Zürich über das Jahr 2012,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,bcb32027f51a4ac88bb8b8ce46b8443e-332,1,2013-07-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/bcb32027f51a4ac88bb8b8ce46b8443e-332/1/pdf
158/2011,,Sonnenenergie auf den Gebäuden nutzen,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,8192c23faea24d40b87b918a006a1af5-332,1,2013-08-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8192c23faea24d40b87b918a006a1af5-332/1/pdf
255/2011,,Standesinitiative zur Wiedereinführung des kantonalen Mitbestimmungsrecht bei Atommüllendlagern,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,1611a26698444e35a7bb476df3af4f66-332,1,2013-08-19T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1611a26698444e35a7bb476df3af4f66-332/1/pdf
221/2013,,Geschwindigkeitsbegrenzung auf dem Zürichsee für Wasserfahrzeuge mit Maschinenantrieb,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,0ee4c9261e1c4513b543a4ce7456f440-332,1,2013-08-26T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/0ee4c9261e1c4513b543a4ce7456f440-332/1/pdf
245/2013,,Fonds für Veloinfrastruktur der Gemeinden,Parlamentarische Initiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,b6f211093e4144a5bfd174c8b1b57a2b-332,1,2013-08-26T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b6f211093e4144a5bfd174c8b1b57a2b-332/1/pdf
349/2010,,Integration des Velofahrens in den Lehrplan 21,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,3a369183ba0a466089c5963c6c3cd3c5-332,1,2013-09-02T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/3a369183ba0a466089c5963c6c3cd3c5-332/1/pdf
4861,4861,Lehrpersonalgesetz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,e0eb1db908a44c3186fb26a8ac431840-332,1,2013-09-02T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e0eb1db908a44c3186fb26a8ac431840-332/1/pdf
131/2012,,Kein Qualitätsabbau in der Volksschule,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,6fbbed6d377f45488646155333133915-332,1,2013-09-02T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6fbbed6d377f45488646155333133915-332/1/pdf
4976,4976,"Rahmenkredit 2013 und 2014 für Subventionen an Pilotprojekte gestützt auf 
§ 16 des Energiegesetzes",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,2e2930974a2e4d48b24132500b7c7995-332,1,2013-09-09T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2e2930974a2e4d48b24132500b7c7995-332/1/pdf
364/2010,,Bürokratieabbau bei der amtlichen Vermessung,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,8df9618cebed44028ac9320d77e65466-332,1,2013-09-16T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8df9618cebed44028ac9320d77e65466-332/1/pdf
90/2011,,Lockerung der Bauvorschriften für Gastwirtschaftsräume,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,cdd5366b3acd45da8cdb94c22fd317bc-332,1,2013-09-16T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/cdd5366b3acd45da8cdb94c22fd317bc-332/1/pdf
102/2011,,Revision Jagdgesetz,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,6132d4ca4b92479da2580b1a4780766c-332,1,2013-09-16T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6132d4ca4b92479da2580b1a4780766c-332/1/pdf
121/2011,,Rascher Bau von umweltschonenden Flusswirbelkraftwerken und Kleinflusskraftwerken,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,62379328c9934c22ba30f978015e8aaf-332,1,2013-09-16T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/62379328c9934c22ba30f978015e8aaf-332/1/pdf
138/2011,,Berücksichtigung von behindertenfreundlichen Firmen im öffentlichen Beschaffungswesen,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,64efaa0bdfb747c0bae49a43f6a6cd97-332,1,2013-09-16T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/64efaa0bdfb747c0bae49a43f6a6cd97-332/1/pdf
230/2012,,Kantonsreferendum gegen den am 2. Juli 2012 paraphierten Staatsvertrag mit Deutschland betreffend An- und Abflugverfahren am Flughafen Zürich,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,bc5b8d1f51634863aed8b96296cda352-332,1,2013-09-16T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/bc5b8d1f51634863aed8b96296cda352-332/1/pdf
188/2013,,Verzicht auf Fleisch aus in- und ausländischer Massentierhaltung in kantonalen Verpflegungsbetrieben,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,36c1a9d5cc1c48f8a4175ad444b90cc3-332,1,2013-09-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/36c1a9d5cc1c48f8a4175ad444b90cc3-332/1/pdf
156/2012,,Gesetzliche Grundlage für eine Kontrollstelle für Buchhaltung und Re­chungsstellung von Institutionen der Langzeitpflege,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,bc3ff5fefbf148f9af2c79e1383d84f9-332,1,2013-09-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/bc3ff5fefbf148f9af2c79e1383d84f9-332/1/pdf
55/2013,,Babyfenster auch im Kanton Zürich wichtig und notwendig,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,2475cb15a8344f13bf06af57d8df7b6a-332,1,2013-09-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2475cb15a8344f13bf06af57d8df7b6a-332/1/pdf
141/2013,,Kostendeckende Fallpauschalen im Kanton Zürich,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,2c803a1472fb4833898a80367649e3b4-332,1,2013-09-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2c803a1472fb4833898a80367649e3b4-332/1/pdf
338/2012,,Offenlegung der Interessenbindungen der Regierungsräte,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,5df4941136134c3dabf5ce1135f14410-332,1,2013-09-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5df4941136134c3dabf5ce1135f14410-332/1/pdf
285/2013,,Tätigkeitsbericht Datenschutzbeauftragter 2012,Diverses,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,77621eb36059425c8f30c117faf7a69c-332,1,2013-09-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/77621eb36059425c8f30c117faf7a69c-332/1/pdf
286/2013,,Tätigkeitsbericht Ombudsmann 2012,Diverses,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a25fef68f5374fb58c4fdab94618da8d-332,1,2013-09-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a25fef68f5374fb58c4fdab94618da8d-332/1/pdf
